,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Tipo de rebanho bovino (Código),Tipo de rebanho bovino,Tipo de inspeção (Código),Tipo de inspeção
143,1,Brasil,2,Percentual,...,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,57,Vitelos e vitelas,111738,Estadual
144,1,Brasil,2,Percentual,...,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,57,Vitelos e vitelas,111739,Municipal
145,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,992,Total,118225,Total
146,1,Brasil,2,Percentual,17.28,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,992,Total,111737,Federal
147,1,Brasil,2,Percentual,36.24,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,992,Total,111738,Estadual
148,1,Brasil,2,Percentual,46.48,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,992,Total,111739,Municipal
149,1,Brasil,2,Percentual,94.12,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,55,Bois,118225,Total
150,1,Brasil,2,Percentual,17.01,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,55,Bois,111737,Federal
151,1,Brasil,2,Percentual,34.02,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,55,Bois,111738,Estadual
152,1,Brasil,2,Percentual,43.10,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,55,Bois,111739,Municipal
153,1,Brasil,2,Percentual,92.25,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês,56,Vacas,118225,Total
